0 0 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 2
0 15 2
0 16 2
0 17 2
0 18 2
0 19 2
0 20 2
0 21 2
0 22 2
0 23 2
0 24 2
0 25 2
0 26 3
0 27 3
0 28 3
0 29 3
0 30 3
0 31 3
0 32 3
0 33 3
0 34 3
0 35 3
0 36 3
0 37 3
0 38 3
0 39 3
0 40 3
0 41 3
0 42 3
0 43 3
0 44 3
0 45 3
0 46 3
0 47 3
0 48 3
0 49 3
0 50 3
0 51 3
0 52 3
0 53 3
0 54 3
0 55 3
0 56 3
0 57 3
0 58 3
0 59 3
0 60 3
0 61 3
0 62 3
0 63 3
0 64 3
0 65 3
0 66 4
0 67 4
0 68 4
0 69 4
0 70 4
0 71 4
0 72 4
0 73 4
0 74 4
0 75 4
0 76 4
0 77 4
0 78 4
0 79 4
0 80 4
0 81 5
0 82 5
0 83 5
0 84 5
0 85 5
0 86 5
0 87 6
0 88 6
0 89 6
0 90 7
0 91 9
0 92 10
0 93 15
0 94 14
0 95 9
0 96 9
0 97 11
0 98 11
0 99 19
0 100 127
0 101 6
0 102 5
0 103 5
0 104 4
0 105 4
0 106 4
0 107 4
0 108 4
0 109 4
0 110 4
0 111 4
0 112 4
0 113 4
0 114 3
0 115 3
0 116 3
0 117 3
0 118 3
0 119 3
0 120 3
0 121 3
0 122 3
0 123 3
0 124 3
0 125 2
0 126 2
0 127 2
0 128 2
0 129 2
0 130 2
0 131 2
0 132 2
0 133 2
0 134 2
0 135 2
0 136 2
0 137 2
0 138 2
0 139 2
0 140 2
0 141 2
0 142 2
0 143 2
0 144 2
0 145 2
0 146 2
0 147 2
0 148 2
0 149 2
1 0 1
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 2
1 14 2
1 15 2
1 16 2
1 17 2
1 18 2
1 19 2
