 0.99 0.98 0.98 0.97 0.96 0.95 0.95 0.94 0.92 0.91 0.90 0.87 0.84 0.79 0.70 0.50
 0.98 0.97 0.95 0.94 0.92 0.91 0.89 0.87 0.85 0.83 0.80 0.76 0.70 0.62 0.50 0.30
 0.98 0.95 0.93 0.91 0.89 0.86 0.84 0.81 0.78 0.75 0.71 0.66 0.59 0.50 0.38 0.21
 0.97 0.94 0.91 0.88 0.85 0.82 0.79 0.75 0.72 0.68 0.63 0.57 0.50 0.41 0.30 0.16
 0.96 0.92 0.89 0.85 0.81 0.78 0.74 0.70 0.66 0.61 0.56 0.50 0.43 0.34 0.24 0.13
 0.95 0.91 0.86 0.82 0.78 0.73 0.69 0.65 0.60 0.55 0.50 0.44 0.37 0.29 0.20 0.10
 0.95 0.89 0.84 0.79 0.74 0.69 0.64 0.60 0.55 0.50 0.45 0.39 0.32 0.25 0.17 0.09
 0.94 0.87 0.81 0.75 0.70 0.65 0.60 0.55 0.50 0.45 0.40 0.34 0.28 0.22 0.15 0.08
 0.92 0.85 0.78 0.72 0.66 0.60 0.55 0.50 0.45 0.40 0.35 0.30 0.25 0.19 0.13 0.06
 0.91 0.83 0.75 0.68 0.61 0.55 0.50 0.45 0.40 0.36 0.31 0.26 0.21 0.16 0.11 0.05
 0.90 0.80 0.71 0.63 0.56 0.50 0.45 0.40 0.35 0.31 0.27 0.22 0.18 0.14 0.09 0.05
 0.87 0.76 0.66 0.57 0.50 0.44 0.39 0.34 0.30 0.26 0.22 0.19 0.15 0.11 0.08 0.04
 0.84 0.70 0.59 0.50 0.43 0.37 0.32 0.28 0.25 0.21 0.18 0.15 0.12 0.09 0.06 0.03
 0.79 0.62 0.50 0.41 0.34 0.29 0.25 0.22 0.19 0.16 0.14 0.11 0.09 0.07 0.05 0.02
 0.70 0.50 0.38 0.30 0.24 0.20 0.17 0.15 0.13 0.11 0.09 0.08 0.06 0.05 0.03 0.02
 0.50 0.30 0.21 0.16 0.13 0.10 0.09 0.08 0.06 0.05 0.05 0.04 0.03 0.02 0.02 0.01
